Contract ID,Project ID,Project Title,Contract No,Procurement Group,Country,No Objection Date,Team Leader,Procurement Method,Borrower Contract Reference,Signing Date,Total Contract Amount,Review Type
1880053,P173283,"Territorial Economic Empowerment for the Indigenous, Afro-Ecuadorians and Montubian Peoples and Nationalities (TEEIPAM)",1880053,Consultant Services,Ecuador,"April 9, 2026",Kosuke Anan,Quality And Cost-Based Selection,IEPS-PROFECPIAM-007-2025,"May 14, 2025",15000.0,Post
1880055,P180935,Second Kenya Devolution Support Program,1880055,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535644-CS-INDV,"March 31, 2026",29976.94,Post
1880054,P176181,Eastern Africa Regional Digital Integration Project,1880054,Consultant Services,Kenya,"April 9, 2026",Naomi J. Halewood,Consultant Qualification Selection,SO-MICT-SL-516419-CS-CQS,"March 12, 2026",298752.0,Prior
1880056,P180935,Second Kenya Devolution Support Program,1880056,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535644-CS-INDV,"March 31, 2026",29976.94,Post
1880057,P171528,Caribbean Digital Transformation Project,1880057,Non-consulting Services,St. Vincent and the Grenadines,"April 9, 2026",Marolla Haddad,Direct Selection,SVG-CARDTP-NC-DIR-4,"February 5, 2025",5589.65,Post
1880058,P180935,Second Kenya Devolution Support Program,1880058,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535644-CS-INDV,"March 31, 2026",29976.94,Post
1880059,P180935,Second Kenya Devolution Support Program,1880059,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535644-CS-INDV,"March 31, 2026",29976.94,Post
1880060,P180935,Second Kenya Devolution Support Program,1880060,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535642-CS-INDV,"March 31, 2026",29976.94,Post
1880062,P180935,Second Kenya Devolution Support Program,1880062,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535642-CS-INDV,"March 31, 2026",29976.94,Post
1880061,P180935,Second Kenya Devolution Support Program,1880061,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535642-CS-INDV,"March 31, 2026",29976.94,Post
1880063,P180935,Second Kenya Devolution Support Program,1880063,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535642-CS-INDV,"March 31, 2026",29976.94,Post
1880065,P180935,Second Kenya Devolution Support Program,1880065,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535640-CS-INDV,"March 31, 2026",29976.94,Post
1880064,P180935,Second Kenya Devolution Support Program,1880064,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535640-CS-INDV,"March 31, 2026",29976.94,Post
1880066,P180935,Second Kenya Devolution Support Program,1880066,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535640-CS-INDV,"March 31, 2026",29976.94,Post
1880067,P180935,Second Kenya Devolution Support Program,1880067,Consultant Services,Kenya,"April 9, 2026",Christine Anyango Owuor,Individual Consultant Selection,KE-SDD-535640-CS-INDV,"March 31, 2026",29976.94,Post
1880069,P180027,Bolivia Improving Sustainable Access to Electricity Project (IDTR III),1880069,Consultant Services,Bolivia,"April 9, 2026",Lara Born,Individual Consultant Selection,ENDE-IDTR III-2024-34,"March 16, 2026",15194.51,Post
1880068,P178954,Water and Sanitation Project - I,1880068,Goods,Malawi,"April 9, 2026",Ivaylo Hristov Kolev,Request for Quotations,MW-BWB-437926-GO-RFQ,"August 23, 2024",403.11,Post
1880071,P162278,National Urban Cadaster and Municipal Support Project,1880071,Consultant Services,Peru,"April 9, 2026",Gabriel Sergio Arrisueno Fajardo,Individual Consultant Selection,CONTRATO N°348-2025-UE003/COFOPRI,"November 4, 2025",4422.07,Post
1880070,P178954,Water and Sanitation Project - I,1880070,Goods,Malawi,"April 9, 2026",Ivaylo Hristov Kolev,Request for Quotations,MW-BWB-437926-GO-RFQ,"August 23, 2024",1343.71,Post
1880072,P180027,Bolivia Improving Sustainable Access to Electricity Project (IDTR III),1880072,Consultant Services,Bolivia,"April 9, 2026",Lara Born,Individual Consultant Selection,BO-ENDE-532237-CS-INDV,"March 16, 2026",15194.51,Post
1880073,P172592,Climate Resilient and Sustainable Agriculture Project,1880073,Consultant Services,Belize,"April 9, 2026",Melissa Brown,Individual Consultant Selection,CS04/ PROJECT ASSISTANT-1-2026,"February 12, 2026",16834.73,Post
1880075,P156880,Enhancing Waterway Connectivity and Water Service Provision in Colombia’s Plan Pazcifico,1880075,Consultant Services,Colombia,"April 9, 2026",Liljana Sekerinska,Individual Consultant Selection,57833-PTSP-119-2025,"August 26, 2025",12617.24,Post
1880074,P162833,Improving the Performance of Non-Criminal Justice Services,1880074,Consultant Services,Peru,"April 9, 2026",Ruben Leonel Ruano Chinchilla,Individual Consultant Selection,PE-PJ-482793-CS-INDV,"July 8, 2025",15842.74,Post
1880077,P156880,Enhancing Waterway Connectivity and Water Service Provision in Colombia’s Plan Pazcifico,1880077,Consultant Services,Colombia,"April 9, 2026",Liljana Sekerinska,Individual Consultant Selection,57833-PTSP-022-2026,"March 16, 2026",3767.04,Post
1880076,P174328,Innovation for Rural Competitiveness Project - COMRURAL III,1880076,Consultant Services,Honduras,"April 9, 2026",Francisco Javier Bueso Ucles,Individual Consultant Selection,HN-SAG-524743-CS-INDV,"January 2, 2026",30000.0,Post
1880078,P179969,Tanzania Scaling-up Sustainable Marine Fisheries and Aquaculture Management Project (TASFAM),1880078,Goods,Tanzania,"April 9, 2026",Mirko Ivo Serkovic,Request for Bids,TZ-MBEF-526293-GO-RFB,"April 8, 2026",180170.96,Post
1880079,P179969,Tanzania Scaling-up Sustainable Marine Fisheries and Aquaculture Management Project (TASFAM),1880079,Goods,Tanzania,"April 9, 2026",Mirko Ivo Serkovic,Request for Bids,TZ-MBEF-526293-GO-RFB,"March 25, 2026",223981.62,Post
1880082,P162833,Improving the Performance of Non-Criminal Justice Services,1880082,Consultant Services,Peru,"April 9, 2026",Ruben Leonel Ruano Chinchilla,Individual Consultant Selection,PE-PJ-482737-CS-INDV,"May 21, 2025",6983.85,Post
1880080,P162833,Improving the Performance of Non-Criminal Justice Services,1880080,Consultant Services,Peru,"April 9, 2026",Ruben Leonel Ruano Chinchilla,Individual Consultant Selection,PE-PJ-488146-CS-INDV,"October 3, 2025",4604.18,Post
1880081,P156880,Enhancing Waterway Connectivity and Water Service Provision in Colombia’s Plan Pazcifico,1880081,Consultant Services,Colombia,"April 9, 2026",Liljana Sekerinska,Individual Consultant Selection,57833-PTSP-023-2026,"March 16, 2026",2974.87,Post
1880084,P175672,Innovation for Resilient Food Systems (Alianzas Rurales - PAR III) Project,1880084,Consultant Services,Bolivia,"April 9, 2026",Griselle Felicita Vega,Individual Consultant Selection,BO-EMPODERAR-534699-CS-INDV,"February 11, 2026",7020.12,Prior
1880085,P176517,"De-risking, inclusion and value enhancement of pastoral economies in the Horn of Africa",1880085,Consultant Services,Djibouti,"April 9, 2026",Isaku Endo,Quality And Cost-Based Selection,12',"April 25, 2024",65075.0,Post
1880086,P162833,Improving the Performance of Non-Criminal Justice Services,1880086,Consultant Services,Peru,"April 9, 2026",Ruben Leonel Ruano Chinchilla,Individual Consultant Selection,PE-PJ-504144-CS-INDV,"September 24, 2025",8570.2,Post
1880087,P169629,Strengthening Pre-Service Education System for Health Professionals Project,1880087,Goods,Cambodia,"April 10, 2026",Sang Minh Le,Request for Bids,SPESHP-GO-RFB-44,"February 16, 2026",138900.0,Post
1880088,P178545,Community Livelihood Enhancement And Resilience,1880088,Consultant Services,Lao People's Democratic Republic,"April 10, 2026",Kaori Oshima,Individual Consultant Selection,CLEAR_SDC_C-070 (0172/CLEAR),"March 12, 2026",36000.0,Post
1880089,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880089,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486504-CW-RFQ","August 18, 2025",8886.13,Post
1880091,P177325,Tajikistan Water Supply and Sanitation Investment Project,1880091,Consultant Services,Tajikistan,"April 10, 2026",Odete Duarte Muximpua,Individual Consultant Selection,WSIP-DC-PMU/008,"September 30, 2024",14400.0,Post
1880090,P173368,Cambodia Health Equity and Quality Improvement Project - Phase 2,1880090,Goods,Cambodia,"April 10, 2026",Rianna L. Mohammed,Request for Quotations,H-EQIP-II-GO-RFB-PMD/PBC5-02,"December 3, 2025",55066.0,Post
1880092,P177646,Comoros Solar Energy Access Project,1880092,Consultant Services,Comoros,"April 10, 2026",Komenan Koffi,Individual Consultant Selection,KM-AEP SONELEC-487257-CS-INDV,"October 16, 2024",249.1,Post
1880093,P167790,Higher Education Project,1880093,Goods,Moldova,"April 10, 2026",Maria Magdalena Bendini,Request for Bids,MD-TECHUNI-403117-GO-RFB,"October 23, 2024",840348.0,Post
1880094,P171524,RESILAND CA+ Program: Tajikistan Resilient Landscape Restoration Project,1880094,Goods,Tajikistan,"April 10, 2026",Asferachew Abate Abebe,Request for Bids,"TRLRP-G-2,1-NFI-0125","January 30, 2026",335524.65,Post
1880096,P162263,Water Services and Institutional Support Project,1880096,Consultant Services,Uzbekistan,"April 10, 2026",Odete Duarte Muximpua,Individual Consultant Selection,KSP-ICS-01,"February 6, 2026",16800.0,Post
1880097,P506569,Transforming Access and Learning in Madagascar,1880097,Goods,Madagascar,"April 10, 2026",Almedina Music,Direct Selection,MG-TALIM-UFP-URGENCE-543709-GO-DIR,"April 7, 2026",2045622.73,Prior
1880098,P162263,Water Services and Institutional Support Project,1880098,Consultant Services,Uzbekistan,"April 10, 2026",Odete Duarte Muximpua,Individual Consultant Selection,WASIS/18,"February 13, 2026",20160.0,Post
1880099,P162263,Water Services and Institutional Support Project,1880099,Consultant Services,Uzbekistan,"April 10, 2026",Odete Duarte Muximpua,Individual Consultant Selection,KSP-ICS-03,"March 3, 2026",16800.0,Post
1880103,P177298,Somalia Enhancing Public Resource Management Project,1880103,Consultant Services,Kenya,"April 10, 2026",May Olalia,Consultant Qualification Selection,SO-MOF-499517-CS-CQS,"October 16, 2025",185606.0,Post
1880100,P174002,Sustainable Rural Economy Program,1880100,Works,Mozambique,"April 10, 2026",Blessings Nyanjagha Botha,Request for Quotations,51/BIOFUND/MOZRURAL/W/RFQ/25,"March 16, 2026",149585.06,Post
1880101,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880101,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 7, 2025",15768.9,Post
1880102,P174002,Sustainable Rural Economy Program,1880102,Consultant Services,Mozambique,"April 10, 2026",Blessings Nyanjagha Botha,Individual Consultant Selection,55/BIOFUND/MOZRURAL/INDV/CS/25,"March 19, 2026",34408.7,Post
1880104,P177895,MSME Competitiveness Project,1880104,Consultant Services,Moldova,"April 10, 2026",Graciela Miralles Murciego,Individual Consultant Selection,MD-CEP-537246-CS-INDV,"April 7, 2026",50070.74,Post
1880105,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880105,Goods,Ethiopia,"April 10, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-486335-GO-RFQ,"May 30, 2025",10234.03,Post
1880106,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880106,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 7, 2025",15772.14,Post
1880107,P167794,"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",1880107,Works,Ethiopia,"April 10, 2026",Taibou Adamou Maiga,Request for Quotations,ET-MOH-320371-CW-RFQ,"May 6, 2023",8790.14,Post
1880108,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880108,Goods,Ethiopia,"April 10, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-481741-GO-RFQ,"February 12, 2025",7429.14,Post
1880109,P165128,Boosting Inclusive Growth for Zanzibar: Integrated Development Project,1880109,Consultant Services,Tanzania,"April 10, 2026",Lulu Simon Dunia,Direct Selection,TZ-POFP-538688-CS-CDS,"April 2, 2026",178500.0,Post
1880110,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880110,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 7, 2025",15772.14,Post
1880111,P167794,"One WASH—Consolidated Water Supply, Sanitation, and Hygiene Account Project (One WASH—CWA)",1880111,Works,Ethiopia,"April 10, 2026",Taibou Adamou Maiga,Request for Quotations,ET-MOH-320389-CW-RFQ,"May 29, 2023",7482.8,Post
1880112,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880112,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 11, 2025",15840.01,Post
1880113,P169629,Strengthening Pre-Service Education System for Health Professionals Project,1880113,Consultant Services,Cambodia,"April 10, 2026",Sang Minh Le,Individual Consultant Selection,SPESHP-CS-INDV-43,"December 1, 2025",3294.11,Post
1880114,P172479,Strengthen Ethiopia’s Adaptive Safety Net,1880114,Goods,Ethiopia,"April 10, 2026",Christabel E. Dadzie,Request for Quotations,ET-TIGRAY FSCO-481736-GO-RFQ,"December 28, 2024",6404.11,Post
1880115,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880115,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 18, 2025",8886.21,Post
1880116,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880116,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486499-CW-RFQ","August 18, 2025",10530.02,Post
1880117,P169629,Strengthening Pre-Service Education System for Health Professionals Project,1880117,Consultant Services,Cambodia,"April 10, 2026",Sang Minh Le,Individual Consultant Selection,SPESHP-CS-INDV-11A,"December 1, 2025",1371.76,Post
1880118,P504532,"Democratic Republic of Congo Health Emergency Preparedness, Response, and Resilience Project",1880118,Non-consulting Services,United States,"April 10, 2026",Adama Traore,Direct Selection,ZR-DRC-MSP-542708-NC-DIR,"April 7, 2026",1596693.33,Post
1880119,P173734,Climate Resilient Water Services Project,1880119,Works,Kyrgyz Republic,"April 10, 2026",Odete Duarte Muximpua,Request for Bids,IDA-CRWSP-CW-RFB-9-9,"July 30, 2025",399959.94,Post
1880120,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880120,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486509-CW-RFQ","August 12, 2025",15818.17,Post
1880123,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880123,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-215447-CW-RFB,"December 13, 2021",65787.37,Post
1880122,P178566,Food Systems Resilience Program for Eastern and Southern Africa,1880122,Non-consulting Services,Madagascar,"April 10, 2026",Hanane Ahmed,Request for Bids,NC 12-25/CN,"March 17, 2026",242097.1,Post
1880121,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880121,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-215447-CW-RFB,"December 3, 2021",95947.15,Post
1880124,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880124,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486509-CW-RFQ","August 12, 2025",15820.79,Post
1880125,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880125,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486509-CW-RFQ","August 7, 2025",15781.96,Post
1880126,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880126,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-215447-CW-RFB,"December 3, 2021",57507.7,Post
1880127,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880127,Works,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,"IN-DPO, SOLAN-486509-CW-RFQ","August 7, 2025",15772.14,Post
1880128,P504531,"Burundi Health Emergency Preparedness, Response, and Resilience Project",1880128,Consultant Services,Burundi,"April 10, 2026",Olivier Basenya,Individual Consultant Selection,BI-MOH-494798-CS-INDV,"March 31, 2026",108079.12,Post
1880129,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880129,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 9, 2021",142265.66,Post
1880131,P168633,Kerala Solid Waste Management Project,1880131,Works,India,"April 10, 2026",Zhiyu Jerry Chen,Request for Quotations,IN-ULB KAN SRE-491573-CW-RFQ,"August 7, 2025",37219.36,Post
1880130,P173249,Indonesia Disaster Risk Finance & Insurance,1880130,Non-consulting Services,Indonesia,"April 10, 2026",Dara Lengkong,Request for Quotations,ID-IEF-541615-NC-RFQ,"March 11, 2026",10637.4,Post
1880132,P178954,Water and Sanitation Project - I,1880132,Consultant Services,Malawi,"April 10, 2026",Ivaylo Hristov Kolev,Individual Consultant Selection,MW-BWB-404598-CS-INDV,"April 30, 2024",5688.4,Post
1880133,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880133,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 9, 2021",158729.62,Post
1880135,P501343,Strengthening Electricity Services Project,1880135,Consultant Services,Cameroon,"April 10, 2026",Daniel Camos Daurella,Quality And Cost-Based Selection,CG-032-PASEL-SC-25,"March 31, 2026",24216.39,Post
1880134,P172657,Improving Learning and Empowering Girls in Mozambique,1880134,Works,Mozambique,"April 10, 2026",Lucia Jose Nhampossa,Request for Bids,6/W/RFB/ILEGP/24,"October 29, 2025",6664848.38,Prior
1880136,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880136,Goods,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,IN-HPFD-177891-GO-RFQ,"January 11, 2021",54.85,Post
1880137,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880137,Goods,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,IN-HPFD-177891-GO-RFQ,"January 5, 2021",69027.29,Post
1880138,P165129,Integrated Project for Source Sustainability and Climate Resilient Rain-fed Agriculture in Himachal Pradesh,1880138,Goods,India,"April 10, 2026",Saumya Srivastava,Request for Quotations,IN-HPFD-177891-GO-RFQ,"March 9, 2021",9618.97,Post
1880139,P176693,Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project,1880139,Consultant Services,Chad,"April 10, 2026",Eleonora Cavagnero,Individual Consultant Selection,TD-SWEDD–TD-500432-CS-INDV,"December 30, 2025",8843.16,Post
1880142,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880142,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 13, 2021",339265.4,Post
1880141,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880141,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 9, 2021",101200.8,Post
1880143,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880143,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 13, 2021",333645.71,Post
1880140,P167945,Burkina Faso Agriculture Resilience and Competitiveness Project,1880140,Works,Burkina Faso,"April 10, 2026",Idriss Serme,Request for Bids,BF-PRECA-212967-CW-RFB,"December 9, 2021",142142.73,Post
1880144,P169150,Fostering and Leveraging Opportunities for Water Security Program,1880144,Consultant Services,Switzerland,"April 10, 2026",Hector Alexander Serrano,Direct Selection,FLOWS1-CS-DS-20,"March 27, 2026",91621.28,Post
1880145,P172657,Improving Learning and Empowering Girls in Mozambique,1880145,Works,Mozambique,"April 10, 2026",Lucia Jose Nhampossa,Request for Bids,6/W/RFB/ILEGP/24,"September 30, 2025",2795163.83,Prior
1880147,P175237,Agro-Climatic Resilience in Semi-Arid Landscapes (ACReSAL),1880147,Consultant Services,Nigeria,"April 10, 2026",Iganya Joy Agene,Consultant Qualification Selection,NG-ZAMFARA STATE ACRESA-500334-CS-CQS,"November 3, 2025",199742.95,Post
1880146,P167328,Water and Sanitation Sectoral Project,1880146,Consultant Services,Mauritania,"April 10, 2026",Mohamed Nanzoul,Least Cost Selection,07/PI/PSEA/2021,"March 14, 2022",9738.42,Post
1880148,P169150,Fostering and Leveraging Opportunities for Water Security Program,1880148,Consultant Services,Switzerland,"April 10, 2026",Hector Alexander Serrano,Direct Selection,FLOWS1-CS-DS-23,"March 27, 2026",97106.88,Post
1880149,P169150,Fostering and Leveraging Opportunities for Water Security Program,1880149,Consultant Services,Ethiopia,"April 10, 2026",Hector Alexander Serrano,Direct Selection,FLOWS1-CS-DS-22,"March 27, 2026",21738.17,Post
1880150,P169150,Fostering and Leveraging Opportunities for Water Security Program,1880150,Consultant Services,United Kingdom,"April 10, 2026",Hector Alexander Serrano,Direct Selection,FLOWS1-CS-DS-21,"March 27, 2026",47794.79,Post
1880151,P172657,Improving Learning and Empowering Girls in Mozambique,1880151,Works,Mozambique,"April 10, 2026",Lucia Jose Nhampossa,Request for Bids,6/W/RFB/ILEGP/24,"September 23, 2025",5380040.53,Prior
1880152,P178040,Angola Strengthening Governance for Enhanced Service Delivery Project,1880152,Consultant Services,Angola,"April 10, 2026",Eduardo Andres Estrada,Quality And Cost-Based Selection,46/C4/C/PROFOGMEPS/24,"April 7, 2026",1617300.0,Prior
1880153,P173734,Climate Resilient Water Services Project,1880153,Works,Kyrgyz Republic,"April 10, 2026",Odete Duarte Muximpua,Request for Bids,IDA-CRWSP-CW-RFB-4-4,"December 1, 2025",2066719.22,Post
1880154,P176693,Sub-Saharan Africa Women’s Empowerment and Demographic Dividend Plus Project,1880154,Goods,Chad,"April 10, 2026",Eleonora Cavagnero,Request for Quotations,TD-SWEDD–TD-531373-GO-RFQ,"March 12, 2026",70731.06,Post
1880155,P169150,Fostering and Leveraging Opportunities for Water Security Program,1880155,Consultant Services,India,"April 10, 2026",Hector Alexander Serrano,Quality And Cost-Based Selection,FLOWS-CS-QCBS-07,"March 23, 2026",1445515.28,Prior
1880157,P166570,Uganda Secondary Education Expansion Project,1880157,Works,Uganda,"April 10, 2026",Julia Liberman,Request for Bids,UG-MOES-470272-CW-RFB,"February 17, 2026",1790871.18,Prior
1880156,P169198,Social Support for Resilient Livelihoods Project,1880156,Goods,United Arab Emirates,"April 10, 2026",Chipo Msowoya,Request for Bids,MW-NLGFC-541075-GO-RFB,"April 1, 2026",360000.0,Post
